epoch,step,train_acc,train_loss,val_acc,val_loss
0,174,,,0.4516666531562805,1.1256202459335327
0,174,0.44535714387893677,1.2201147079467773,,
1,349,,,0.5166666507720947,1.037357211112976
1,349,0.4717857241630554,1.162601113319397,,
